year,month,day,day_week,close_norm,open_norm,high_norm,low_norm,range_norm
2012,1,25,4,0.002298149,0.035224228,0.002058644,0.032385988,-0.666588948
2012,1,26,5,0,0,0,0,0
2012,1,27,6,-0.004357486,0.009856209,0.006435818,-0.006248399,0.872377622
2012,1,30,2,-0.028180137,-0.022870326,-0.022870326,-0.019826831,-0.133146592
2012,1,31,3,0.040090803,-0.011861927,0.021070191,0.012256616,0.382162861
2012,2,1,4,0.002989077,0.032849559,0.002106269,0.014160009,-0.359569825
2012,2,2,5,0.004316973,0.007146521,0.012315086,0.001490473,0.52664882
2012,2,3,6,0.014171266,-0.00209229,0.006813542,0.015537178,-0.265104416
2012,2,6,2,0.013381161,0.022778223,0.016960414,0.025683767,-0.358785249
2012,2,7,3,0.005389878,0.014570042,0.009529341,0.007531829,0.147158322
2012,2,8,4,-0.000435852,-0.005815692,-0.002689435,-0.005038913,0.139486877
2012,2,9,5,0.018168429,-0.003972566,0.013916061,0.005759934,0.444875776
2012,2,10,6,-0.00618124,0.020930629,0.000815444,0.007494704,-0.244850439
2012,2,13,2,0.002963807,-0.002962179,-0.002098532,-0.000821717,-0.064753321
2012,2,14,3,0.007929461,-0.000157878,0.007025639,0.010971681,-0.199847832
2012,2,15,4,0.035432642,0.017627722,0.033247383,0.017613957,1.068779715
2012,2,16,5,-0.000805072,0.024676381,-0.001706282,0.013815285,-0.507430673
2012,2,17,6,0.014008552,0.013472772,0.023997331,0.021609362,0.184136858
2012,2,20,2,0,0,0,0,0
2012,2,21,3,0.008623103,-2.26E-05,0.000330258,0.002687733,-0.136065143
2012,2,22,4,-0.037890317,0.010667778,0.001757822,-0.029752957,2.117664944
2012,2,23,5,-0.00314502,-0.041813017,-0.033322199,-0.008610189,-0.549736688
2012,2,24,6,-0.019279684,-0.000187025,-0.008624622,-0.017534693,0.401342863
2012,2,27,2,-0.038341836,-0.015348283,-0.021507475,-0.034655576,0.402627512
2012,2,28,3,0.037614002,-0.033027314,0.00323434,0.010418011,-0.156253444
2012,2,29,4,-0.006657764,0.037505096,0.00999839,0.01590553,-0.147054982
2012,3,1,5,-0.012031649,-0.016720714,-0.026449992,-0.017455214,-0.311284642
2012,3,2,6,0.014131734,-0.004569024,0.019171606,0.003203661,0.740551356
2012,3,5,2,-0.024481757,0.006689109,-0.016760753,-0.003993015,-0.349214459
2012,3,6,3,-0.011857921,-0.024700077,0.002993221,-0.01296776,0.6390579
2012,3,7,4,0.007426813,-0.011778557,-0.025728109,-0.008033571,-0.450365226
2012,3,8,5,0,0,0,0,0
2012,3,9,6,0.036791229,0.025577628,0.035114977,0.034894542,0.044662309
2012,3,12,2,0.011422425,0.046579111,0.024689951,0.024930007,0.01438999
2012,3,13,3,0.005698475,-0.005392,-0.00192371,0.012159439,-0.612458882
2012,3,14,4,0.019043252,0.010506262,0.0135941,0.009108415,0.521485411
2012,3,15,5,-0.02706227,0.006843555,-0.001612896,-0.019709992,1.357391911
2012,3,16,6,-0.019221331,-0.026316152,-0.00570474,-0.019736842,0.432480402
2012,3,19,2,-0.019487362,-0.01573378,-0.036137293,-0.020564261,-0.368921012
2012,3,20,3,0.009103088,-0.024696265,-0.006862468,0.000251597,-0.242801047
2012,3,21,4,0.023619865,0.005464991,0.018598349,0.007856734,0.489196197
2012,3,22,5,-0.03334141,0.027967554,0.002054525,-0.007986337,0.299767847
2012,3,23,6,0.011893587,-0.026152019,-0.016959962,-0.000996463,-0.378209422
2012,3,26,2,-0.02438669,0.001019537,-0.013566571,-0.01113004,-0.102154399
2012,3,27,3,0.010489371,-0.00860607,-0.001563855,-0.00454407,0.117776445
2012,3,28,4,-0.018568606,-0.004900756,-0.012198633,-0.006656601,-0.209838998
2012,3,29,5,-0.003288021,-0.02596312,-0.013189028,-0.005635681,-0.351822504
2012,3,30,6,0.028717773,0.012734234,0.025979747,0.013864343,0.859238561
2012,4,2,2,0.009067098,0.020230751,0.007191612,0.019941093,-0.470975014
2012,4,3,3,0.012347955,0.019063887,0.017530942,0.01915833,-0.100142045
2012,4,4,4,-0.008866438,-0.003453425,-0.012458701,-0.010413454,-0.179952644
2012,4,5,5,0,0,0,0,0
2012,4,6,6,0,0,0,0,0
2012,4,9,2,-0.020164215,-0.008554733,-0.011106987,-0.015017603,0.375360924
2012,4,10,3,0.006361285,-0.008526176,-0.004558018,-0.003628723,-0.070328901
2012,4,11,4,0.001785005,-0.005108563,0.009779724,-0.001622499,0.874670681
2012,4,12,5,0.01825391,0.013190343,0.011935304,0.018885366,-0.268821522
2012,4,13,6,-0.00908112,0.022198484,0.014871367,-0.001463315,0.934376716
2012,4,16,2,0.012269254,-0.019478443,-0.013222578,0.00375646,-0.506600426
